usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Customer,11211,Brooklyn,Greenpoint,11222,Brooklyn,Greenpoint,2020-09-03,2020-09-03,82.6,1.8,0.0,30.0,1
Customer,10003,Manhattan,Lower East Side,11206,Brooklyn,Bushwick and Williamsburg,2020-09-18,2020-09-18,76.3,2.4,0.0,50.0,1
Subscriber,10012,Manhattan,Greenwich Village and Soho,11222,Brooklyn,Greenpoint,2020-11-18,2020-11-18,50.9,3.6,0.0,30.0,1
Subscriber,11221,Brooklyn,Bushwick and Williamsburg,11233,Brooklyn,Central Brooklyn,2020-09-07,2020-09-07,78.4,3.4,0.0,10.0,1
Subscriber,11101,Queens,Northwest Queens,10021,Manhattan,Upper East Side,2020-11-06,2020-11-06,69.4,3.7,0.01,20.0,1
Customer,11101,Queens,Northwest Queens,11101,Queens,Northwest Queens,2020-09-20,2020-09-20,73.9,6.3,0.0,20.0,22
Subscriber,11222,Brooklyn,Greenpoint,11101,Queens,Northwest Queens,2020-11-11,2020-11-11,52.7,6.0,0.69,10.0,23
Subscriber,10103,Manhattan,Chelsea and Clinton,10021,Manhattan,Upper East Side,2020-12-14,2020-12-14,56.8,4.6,0.0,10.0,1
Subscriber,10023,Manhattan,Upper West Side,10021,Manhattan,Upper East Side,2020-09-09,2020-09-09,82.0,4.0,0.0,40.0,2
Subscriber,10010,Manhattan,Gramercy Park and Murray Hill,10021,Manhattan,Upper East Side,2020-10-19,2020-10-19,42.9,2.2,0.0,40.0,2
Subscriber,10024,Manhattan,Upper West Side,10028,Manhattan,Upper East Side,2020-11-02,2020-11-02,59.4,2.6,0.0,20.0,9
Subscriber,11221,Brooklyn,Bushwick and Williamsburg,11233,Brooklyn,Central Brooklyn,2020-11-14,2020-11-14,46.4,8.0,0.0,10.0,3
Subscriber,11222,Brooklyn,Greenpoint,11222,Brooklyn,Greenpoint,2020-10-05,2020-10-05,57.7,6.6,0.0,0.0,73
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,2020-10-31,2020-10-31,49.1,3.0,0.0,0.0,24
Customer,11206,Brooklyn,Bushwick and Williamsburg,11206,Brooklyn,Bushwick and Williamsburg,2020-12-27,2020-12-27,52.0,4.5,0.12,20.0,2
Subscriber,11201,Brooklyn,Northwest Brooklyn,11206,Brooklyn,Bushwick and Williamsburg,2020-11-04,2020-11-04,62.9,2.3,0.0,20.0,11
Subscriber,10065,Manhattan,Upper East Side,11101,Queens,Northwest Queens,2020-09-24,2020-09-24,69.7,3.0,0.0,30.0,2
Subscriber,11211,Brooklyn,Greenpoint,11206,Brooklyn,Bushwick and Williamsburg,2020-11-11,2020-11-11,52.7,6.0,0.69,10.0,16
Subscriber,10019,Manhattan,Chelsea and Clinton,10021,Manhattan,Upper East Side,2020-11-01,2020-11-01,57.9,3.9,0.0,20.0,7
Subscriber,11222,Brooklyn,Greenpoint,11222,Brooklyn,Greenpoint,2020-12-07,2020-12-07,48.0,2.9,0.0,0.0,39
Subscriber,11206,Brooklyn,Bushwick and Williamsburg,11222,Brooklyn,Greenpoint,2020-11-27,2020-11-27,57.1,2.9,0.0,10.0,4
Subscriber,11211,Brooklyn,Greenpoint,11101,Queens,Northwest Queens,2020-10-11,2020-10-11,59.3,2.8,0.0,20.0,5
Subscriber,10028,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,2020-12-03,2020-12-03,50.9,6.2,0.1,10.0,9
Customer,11211,Brooklyn,Greenpoint,11222,Brooklyn,Greenpoint,2020-09-14,2020-09-14,66.4,6.3,0.04,10.0,9
Subscriber,11211,Brooklyn,Greenpoint,11222,Brooklyn,Greenpoint,2020-08-19,2020-08-19,80.0,4.0,0.0,30.0,1
Subscriber,11217,Brooklyn,Northwest Brooklyn,11222,Brooklyn,Greenpoint,2020-08-27,2020-08-27,73.8,2.6,0.0,30.0,3
Subscriber,11201,Brooklyn,Northwest Brooklyn,11206,Brooklyn,Bushwick and Williamsburg,2020-09-08,2020-09-08,84.2,3.8,0.0,20.0,6
Subscriber,10011,Manhattan,Chelsea and Clinton,10021,Manhattan,Upper East Side,2020-10-07,2020-10-07,64.9,2.5,0.0,30.0,2
Subscriber,10003,Manhattan,Lower East Side,10021,Manhattan,Upper East Side,2020-11-14,2020-11-14,46.4,8.0,0.0,20.0,1
Subscriber,10023,Manhattan,Upper West Side,10028,Manhattan,Upper East Side,2020-09-28,2020-09-28,70.1,2.3,0.0,20.0,11
